"udid","time","count","avg_duration"
"104022670","1474887600","1","4"
"103980757","1474891200","1","1"
"104003114","1474894800","1","9"
"104012356","1474894800","2","163"
"104022561","1474894800","1","81047"
"104022685","1474894800","1","16804"
"103964294","1474898400","1","762"
"103978723","1474898400","4","201"
"104020767","1474898400","1","14"
"104020784","1474898400","9","10179"
"104021660","1474898400","1","2"
"104022554","1474898400","1","230"
"104021706","1474898400","2","1643"
"104022670","1474898400","1","1281"
"104022688","1474898400","4","56199"
"104022690","1474898400","1","63480"
"104020413","1474902000","1","35"
"104022690","1474902000","2","16"
"103993816","1474902000","1","163"
"104019546","1474905600","1","24"
"104018989","1474905600","1","969"
"98112597","1474905600","5","202"
"104022681","1474905600","1","27618"
"104021660","1474905600","1","201"
"104022681","1474909200","5","2980"
"104021384","1474909200","8","4795"
"104019735","1474909200","1","55"
"104022703","1474909200","1","12"
"104022700","1474909200","2","4400"
"104018779","1474912800","2","28"
"103997607","1474912800","1","552"
"103972991","1474912800","5","1290"
"104022709","1474912800","1","20590"
"104022670","1474912800","2","4441"
"104022710","1474912800","4","1694"
"104022681","1474912800","2","383"
"104022700","1474912800","6","1330"
"104022654","1474912800","1","214"
"104017229","1474912800","1","2414"
"104022504","1474916400","1","2"
"103962003","1474916400","1","4"
"103982435","1474916400","1","18"
"103984312","1474916400","1","51"
"103997607","1474916400","1","209"
"104016286","1474916400","1","251"
"104018215","1474916400","1","8"
"104022654","1474920000","2","4729"
"104022301","1474920000","2","221"
"103999221","1474923600","1","394"
"103995980","1474923600","1","138"
"103972394","1474923600","1","4"
"103970818","1474923600","1","987"
"104022700","1474923600","3","506"
"104021801","1474923600","2","459"
"104022669","1474923600","1","198"
"104021701","1474927200","1","28"
"104022617","1474927200","1","96"
"104022554","1474930800","1","427"
"104022510","1474930800","1","250"
"104021384","1474930800","1","190"
"103990531","1474930800","1","931"
"104022755","1474930800","3","25936"
"104022654","1474930800","3","2310"
"104022762","1474934400","4","8321"
"103984763","1474934400","4","517"
"103984868","1474934400","2","627"
"104007755","1474934400","4","28437"
"104021384","1474934400","1","887"
"104022766","1474938000","1","33363"
"104022546","1474938000","1","41"
"104021193","1474938000","2","289"
"104014500","1474938000","1","12"
"104007755","1474938000","1","524"
"104001767","1474938000","2","58"
"104022762","1474938000","1","165"
"104022094","1474941600","1","748"
"104022764","1474941600","1","24"
"104022241","1474941600","1","37"
"104021660","1474941600","1","287"
"104014500","1474941600","2","604"
"104022775","1474945200","2","29041"
"103987506","1474945200","1","135"
"104014500","1474945200","1","1"
"104021791","1474945200","2","54"
"104022094","1474945200","1","36"
"104003748","1474948800","1","6"
"104022775","1474948800","1","1190"
"104022292","1474948800","1","3"
"104019368","1474952400","1","953"
"104022778","1474952400","2","1788"
"104022775","1474952400","2","4923"
"104022756","1474952400","1","1740"
"104022681","1474952400","1","237"
"104022654","1474952400","1","3"
"104022669","1474956000","1","52"
"104022106","1474959600","2","5322"
"104022489","1474959600","1","3"
"104022791","1474959600","6","2458"
"104021930","1474963200","1","311"
"104019368","1474963200","1","406"
"104022796","1474963200","1","4723"
"103985379","1474966800","2","339"
"103997007","1474966800","4","610"
"104021706","1474970400","2","331"
"103972991","1474970400","6","2240"
"104020784","1474970400","3","9310"
"104022292","1474970400","2","91"
"104015451","1474974000","3","53"
"104020070","1474974000","1","88"
"104022644","1474977600","1","2"
"103997994","1474977600","1","9"
"103998297","1474977600","12","920"
"104021050","1474977600","2","448"
"104022317","1474977600","1","15"
"104022326","1474977600","2","217"
"104022793","1474977600","1","61008"
"104003860","1474981200","3","200"
"103974921","1474981200","1","389"
"104015451","1474981200","1","1310"
"104020784","1474981200","1","6"
"104022554","1474981200","1","101"
"104022623","1474981200","1","68"
"104022644","1474981200","1","2916"
"104022793","1474981200","2","220"
"104022806","1474981200","2","76490"
"104022808","1474981200","5","2537"
"104022810","1474981200","1","9"
"104022815","1474984800","2","30592"
"103974921","1474984800","1","394"
"104003860","1474984800","1","160"
"104011491","1474984800","1","2"
"104022670","1474984800","2","4511"
"104022793","1474984800","4","3266"
"104022814","1474984800","1","4829"
"104022648","1474988400","1","20"
"103998829","1474988400","2","7"
"104022094","1474988400","1","156"
"104022546","1474988400","1","5"
"104022670","1474988400","3","1563"
"104022793","1474988400","1","799"
"104022811","1474988400","2","59004"
"104022820","1474988400","2","81691"
"104022069","1474992000","1","782"
"104022670","1474992000","1","4190"
"103983246","1474992000","2","1141"
"104019282","1474995600","1","90"
"104021932","1474995600","2","26063"
"103976280","1474995600","2","109"
"104022832","1474999200","1","14060"
"104022835","1474999200","1","846"
"104022244","1475002800","3","201"
"104022840","1475002800","3","213"
"103962003","1475002800","1","122"
"103997607","1475002800","5","510"
"104021239","1475002800","1","575"
"104022027","1475002800","1","111"
"104022106","1475002800","1","1371"
"104022415","1475002800","1","1643"
"104022579","1475006400","1","354"
"103997607","1475006400","1","10"
"103998297","1475006400","1","83"
"104022816","1475006400","1","1154"
"104022842","1475006400","4","825"
"104022843","1475006400","1","63"
"104012198","1475010000","1","266"
"104021384","1475010000","1","360"
"104021474","1475010000","1","14"
"104022628","1475010000","1","43"
"104022816","1475010000","2","2060"
"104022851","1475010000","1","544"
"104022859","1475010000","1","226"
"103979324","1475010000","1","2326"
"103998297","1475010000","1","130"
"104022551","1475013600","1","86"
"104022830","1475013600","1","3238"
"104022860","1475013600","2","228"
"104022832","1475013600","1","838"
"103974447","1475013600","2","82901"
"103997607","1475013600","2","169"
"104007998","1475013600","1","19"
"104010199","1475013600","1","59"
"104021384","1475013600","1","3175"
"104021916","1475013600","1","4"
"104022069","1475013600","1","431"
"104022451","1475013600","4","2754"
"104022654","1475017200","1","178"
"103981293","1475017200","4","191"
"103981293","1475017200","1","24"
"103997607","1475017200","1","303"
"104011971","1475017200","1","3"
"104020413","1475017200","1","27"
"104020747","1475017200","1","3562"
"104022554","1475017200","1","6"
"104022860","1475017200","1","449"
"104020747","1475020800","1","4272"
"103998643","1475020800","1","629"
"104022498","1475020800","1","461"
"104022654","1475024400","1","178"
"103978615","1475024400","1","195"
"103993454","1475024400","1","2726"
"103998643","1475024400","2","1670"
"103999830","1475024400","1","3036"
"104020747","1475024400","1","2732"
"104022578","1475024400","1","9"
"104022670","1475028000","2","8721"
"103991507","1475028000","1","33"
"103993454","1475028000","3","4497"
"103999830","1475028000","1","245"
"104021801","1475028000","1","174"
"104022669","1475028000","2","406"
"104022807","1475028000","1","131"
"104022867","1475031600","1","14768"
"103993454","1475031600","1","958"
"104009814","1475031600","1","162"
"104021542","1475031600","2","921"
"104021734","1475031600","1","1050"
"104021801","1475031600","1","103"
"104022764","1475031600","2","1589"
"104022876","1475031600","1","23"
"104021801","1475035200","1","472"
"104021734","1475035200","4","1516"
